compound,flashpoint,pure substance,smiles,source,is_silicon
tetramethylplumbane,311.15,1,C[Pb](C)(C)C,pubchem,0
tetramethylsilane,246.15,1,C[Si](C)(C)C,pubchem,1
chloro(trimethyl)silane,255.15,1,C[Si](C)(C)Cl,pubchem,1
dichloro(dimethyl)silane,264.15,1,C[Si](C)(Cl)Cl,pubchem,1
trichloro(methyl)silane,264.15,1,C[Si](Cl)(Cl)Cl,pubchem,1
trichloro(ethenyl)silane,294.15,1,C=C[Si](Cl)(Cl)Cl,pubchem,1
tetraethylplumbane,366.15,1,CC[Pb](CC)(CC)CC,pubchem,0
tetraethyl silicate,310.15,1,CCO[Si](OCC)(OCC)OCC,pubchem,1
dichloro(diphenyl)silane,415.15,1,C1=CC=C(C=C1)[Si](C2=CC=CC=C2)(Cl)Cl,pubchem,1
chloro(diethyl)alumane,250.15,1,CC[Al](CC)Cl,pubchem,0
triethylborane,237.15,1,B(CC)(CC)CC,pubchem,0
trichloro(phenyl)silane,364.15,1,C1=CC=C(C=C1)[Si](Cl)(Cl)Cl,pubchem,1
trichloro(prop-2-enyl)silane,308.15,1,C=CC[Si](Cl)(Cl)Cl,pubchem,1
trichloro(pentyl)silane,336.15,1,CCCCC[Si](Cl)(Cl)Cl,pubchem,1
trichloro(octadecyl)silane,362.15,1,CCCCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl,pubchem,1
trichloro(ethyl)silane,295.15,1,CC[Si](Cl)(Cl)Cl,pubchem,1
"zinc;N,N-dimethylcarbamodithioate",366.15,1,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2],pubchem,0
trisodium;2-[2-[bis(carboxylatomethyl)amino]ethyl-(2-hydroxyethyl)amino]acetate,373.15,1,C(CN(CC(=O)[O-])CC(=O)[O-])N(CCO)CC(=O)[O-].[Na+].[Na+].[Na+],pubchem,0
trichloro(propyl)silane,310.15,1,CCC[Si](Cl)(Cl)Cl,pubchem,1
dichloro-methyl-phenylsilane,301.15,1,C[Si](C1=CC=CC=C1)(Cl)Cl,pubchem,1
"2,2,4,4,6,6,8,8,10,10,12,12-dodecamethyl-1,3,5,7,9,11-hexaoxa-2,4,6,8,10,12-hexasilacyclododecane",364.15,1,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,pubchem,1
"2,2,4,4,6,6,8,8,10,10-decamethyl-1,3,5,7,9,2,4,6,8,10-pentaoxapentasilecane",346.15,1,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,pubchem,1
"2,2,4,4,6,6,8,8-octamethyl-1,3,5,7,2,4,6,8-tetraoxatetrasilocane",328.15,1,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,pubchem,1
zinc;octadecanoate,550.15,1,CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Zn+2],pubchem,0
dimethylmercury,278.15,1,C[Hg]C,pubchem,0
tetramethyl silicate,369.15,1,CO[Si](OC)(OC)OC,pubchem,1
dibutyl(dichloro)stannane,441.15,1,CCCC[Sn](CCCC)(Cl)Cl,pubchem,0
tributyl borate,366.15,1,B(OCCCC)(OCCCC)OCCCC,pubchem,0
3-triethoxysilylpropan-1-amine,371.15,1,CCO[Si](CCCN)(OCC)OCC,pubchem,1
[dimethyl-(trimethylsilylamino)silyl]methane,282.15,1,C[Si](C)(C)N[Si](C)(C)C,pubchem,1
butyl(trichloro)stannane,354.15,1,CCCC[Sn](Cl)(Cl)Cl,pubchem,0
trichloro(chloromethyl)silane,342.15,1,C([Si](Cl)(Cl)Cl)Cl,pubchem,1
dichloro(diethyl)silane,297.15,1,CC[Si](CC)(Cl)Cl,pubchem,1
3-trimethoxysilylpropyl 2-methylprop-2-enoate,365.15,1,CC(=C)C(=O)OCCC[Si](OC)(OC)OC,pubchem,1
bromo(triethyl)stannane,372.15,1,CC[Sn](CC)(CC)Br,pubchem,0
tripropan-2-yl borate,301.15,1,B(OC(C)C)(OC(C)C)OC(C)C,pubchem,0
butan-1-olate;titanium(4+),350.15,1,CCCC[O-].CCCC[O-].CCCC[O-].CCCC[O-].[Ti+4],pubchem,0
trichloro(hexadecyl)silane,419.15,1,CCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl,pubchem,1
butyl(trichloro)silane,325.15,1,CCCC[Si](Cl)(Cl)Cl,pubchem,1
"InChI=1S/2Na.H2O4S2/c;;1-5(2)6(3)4/h;;(H,1,2)(H,3,4)/q2*+1;/p-2",373.15,1,[O-]S(=O)S(=O)[O-].[Na+].[Na+],pubchem,0
dimethyl-bis(trimethylsilyloxy)silane,408.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,pubchem,1
trimethyl(trimethylsilyloxy)silane,243.15,1,C[Si](C)(C)O[Si](C)(C)C,pubchem,1
chloro(diethyl)alumane;dichloro(ethyl)alumane,253.15,1,CC[Al](CC)Cl.CC[Al](Cl)Cl,pubchem,0
"carbon monoxide;manganese;2-methylcyclopenta-1,3-diene",369.15,1,CC1=C[CH-]C=C1.[C-]#[O+].[C-]#[O+].[C-]#[O+].[Mn],pubchem,0
trimethyl-[methyl-bis(trimethylsilyloxy)silyl]oxysilane,359.15,1,C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,pubchem,1
zinc;bis(8-methylnonoxy)-sulfanylidene-sulfido-Î»5-phosphane,553.15,1,CC(C)CCCCCCCOP(=S)(OCCCCCCCC(C)C)[S-].CC(C)CCCCCCCOP(=S)(OCCCCCCCC(C)C)[S-].[Zn+2],pubchem,0
